rms_x,rms_y,rms_z,pw,label
0.04,1.08,0.04,162.15,bearing
0.04,1.09,0.04,158.07,bearing
0.04,1.09,0.04,164.04,bearing
0.04,1.09,0.04,156.87,bearing
0.04,1.09,0.04,163.48,bearing
0.04,1.09,0.04,156.14,bearing
0.04,1.09,0.04,157.90,bearing
0.04,1.08,0.04,156.20,bearing
0.04,1.09,0.04,163.32,bearing
0.04,1.09,0.04,158.09,bearing
0.04,1.09,0.04,164.47,bearing
0.04,1.09,0.04,166.61,bearing
0.04,1.09,0.04,167.28,bearing
0.04,1.09,0.04,163.56,bearing
0.04,1.08,0.04,157.56,bearing
0.04,1.09,0.04,157.05,bearing
0.04,1.08,0.04,164.23,bearing
0.04,1.08,0.04,158.16,bearing
0.04,1.09,0.04,154.73,bearing
0.04,1.08,0.04,158.82,bearing
0.04,1.09,0.04,165.78,bearing
0.04,1.09,0.04,159.77,bearing
0.04,1.09,0.04,167.86,bearing
0.04,1.09,0.04,166.95,bearing
0.04,1.08,0.04,166.80,bearing
0.04,1.09,0.04,162.68,bearing
0.04,1.09,0.04,156.31,bearing
0.04,1.09,0.04,162.71,bearing
0.04,1.09,0.04,164.35,bearing
0.04,1.09,0.04,159.85,bearing
0.04,1.09,0.04,162.75,bearing
0.04,1.08,0.04,166.73,bearing
0.04,1.09,0.04,165.31,bearing
0.04,1.09,0.04,168.58,bearing
0.04,1.09,0.04,158.22,bearing
0.04,1.08,0.04,162.41,bearing
0.04,1.09,0.04,160.75,bearing
0.04,1.08,0.04,160.98,bearing
0.04,1.09,0.04,154.64,bearing
0.04,1.09,0.04,162.59,bearing
0.04,1.09,0.04,165.50,bearing
0.04,1.09,0.04,158.37,bearing
0.04,1.09,0.04,152.89,bearing
0.04,1.09,0.04,160.72,bearing
0.04,1.09,0.04,157.71,bearing
0.04,1.09,0.04,161.95,bearing
0.04,1.08,0.04,154.50,bearing
0.04,1.09,0.04,161.95,bearing
0.04,1.08,0.04,165.70,bearing
0.04,1.09,0.04,163.40,bearing
0.04,1.09,0.04,156.00,bearing
0.04,1.09,0.04,164.13,bearing
0.04,1.09,0.04,165.06,bearing
0.04,1.09,0.04,168.63,bearing
0.04,1.09,0.04,158.57,bearing
0.04,1.08,0.04,152.31,bearing
0.04,1.08,0.04,152.13,bearing
0.04,1.08,0.04,162.31,bearing
0.04,1.09,0.04,155.88,bearing
0.04,1.09,0.04,157.14,bearing
0.04,1.09,0.04,160.87,bearing
0.04,1.09,0.04,166.61,bearing
0.04,1.08,0.04,158.73,bearing
0.04,1.08,0.04,164.29,bearing
0.04,1.09,0.04,157.95,bearing
0.04,1.08,0.04,164.75,bearing
0.04,1.09,0.04,156.80,bearing
0.04,1.09,0.04,152.80,bearing
0.04,1.09,0.04,157.20,bearing
0.04,1.09,0.04,163.32,bearing
0.04,1.09,0.04,158.51,bearing
0.04,1.09,0.04,169.08,bearing
0.04,1.09,0.04,165.64,bearing
0.04,1.09,0.04,162.70,bearing
0.04,1.09,0.04,163.77,bearing
0.04,1.09,0.04,155.46,bearing
0.04,1.09,0.04,163.46,bearing
0.04,1.09,0.04,157.45,bearing
0.04,1.09,0.04,152.45,bearing
0.04,1.09,0.04,154.53,bearing
0.04,1.09,0.04,161.04,bearing
0.04,1.09,0.04,157.14,bearing
0.04,1.09,0.04,168.40,bearing
0.04,1.09,0.04,165.62,bearing
0.04,1.09,0.04,158.56,bearing
0.04,1.09,0.04,164.48,bearing
0.04,1.08,0.04,162.32,bearing
0.04,1.09,0.04,163.11,bearing
0.04,1.08,0.04,158.18,bearing
0.04,1.08,0.04,160.66,bearing
0.04,1.09,0.04,162.26,bearing
0.04,1.09,0.04,155.43,bearing
0.04,1.09,0.04,165.29,bearing
0.04,1.09,0.04,160.99,bearing
0.04,1.09,0.04,155.60,bearing
0.04,1.09,0.04,161.75,bearing
0.04,1.09,0.04,158.77,bearing
0.04,1.09,0.04,166.01,bearing
0.04,1.09,0.04,158.68,bearing
0.04,1.09,0.04,163.24,bearing
0.04,1.08,0.04,161.90,bearing
0.04,1.09,0.04,155.17,bearing
0.04,1.09,0.04,163.34,bearing
0.04,1.09,0.04,157.27,bearing
0.04,1.09,0.04,159.68,bearing
0.04,1.09,0.04,163.44,bearing
0.04,1.09,0.04,164.80,bearing
0.04,1.09,0.04,162.40,bearing
0.04,1.09,0.04,168.72,bearing
0.04,1.09,0.04,169.79,bearing
0.04,1.09,0.04,159.44,bearing
0.04,1.09,0.04,160.10,bearing
0.04,1.08,0.04,162.52,bearing
0.04,1.09,0.04,158.59,bearing
0.04,1.08,0.04,157.17,bearing
0.04,1.09,0.04,164.33,bearing
0.04,1.08,0.04,164.24,bearing
0.04,1.08,0.04,156.77,bearing
0.04,1.09,0.04,166.39,bearing
0.04,1.09,0.04,159.62,bearing
0.04,1.09,0.04,162.33,bearing
0.04,1.08,0.05,161.39,bearing
0.04,1.08,0.04,155.52,bearing
0.04,1.08,0.04,161.14,bearing
0.04,1.08,0.04,154.52,bearing
0.04,1.09,0.04,163.86,bearing
0.04,1.09,0.04,159.68,bearing
0.04,1.09,0.04,156.91,bearing
0.04,1.09,0.04,158.81,bearing
0.04,1.09,0.04,163.55,bearing
0.04,1.09,0.04,159.38,bearing
0.04,1.09,0.04,159.59,bearing
0.04,1.08,0.04,165.89,bearing
0.04,1.09,0.04,160.35,bearing
0.04,1.09,0.04,157.20,bearing
0.04,1.09,0.04,155.42,bearing
0.04,1.09,0.04,163.44,bearing
0.04,1.09,0.04,158.22,bearing
0.04,1.09,0.04,154.56,bearing
0.04,1.09,0.04,158.73,bearing
0.04,1.09,0.04,164.31,bearing
0.04,1.09,0.04,159.66,bearing
0.04,1.09,0.04,168.03,bearing
0.04,1.09,0.04,165.69,bearing
0.04,1.09,0.04,161.99,bearing
0.04,1.09,0.04,164.97,bearing
0.04,1.09,0.04,156.34,bearing
0.04,1.09,0.04,163.09,bearing
0.04,1.09,0.04,159.65,bearing
0.04,1.09,0.04,156.30,bearing
0.04,1.09,0.04,153.80,bearing
0.04,1.09,0.04,164.85,bearing
0.04,1.09,0.04,158.80,bearing
0.04,1.09,0.04,166.72,bearing
0.04,1.09,0.04,162.89,bearing
0.04,1.08,0.04,166.59,bearing
0.04,1.08,0.04,162.70,bearing
0.04,1.08,0.04,156.20,bearing
0.04,1.08,0.04,163.62,bearing
0.04,1.09,0.04,161.59,bearing
0.04,1.09,0.04,159.79,bearing
0.04,1.09,0.04,156.42,bearing
0.04,1.09,0.04,163.49,bearing
0.04,1.09,0.04,157.92,bearing
0.04,1.09,0.04,166.28,bearing
0.04,1.09,0.04,164.37,bearing
0.04,1.09,0.04,162.13,bearing
0.04,1.09,0.04,159.77,bearing
0.04,1.09,0.04,154.81,bearing
0.04,1.09,0.04,163.65,bearing
0.04,1.09,0.04,157.95,bearing
0.04,1.08,0.04,159.45,bearing
0.04,1.09,0.04,161.10,bearing
0.04,1.09,0.04,164.80,bearing
0.04,1.08,0.04,160.43,bearing
0.04,1.09,0.04,167.99,bearing
0.04,1.09,0.04,169.52,bearing
0.04,1.09,0.04,160.26,bearing
0.04,1.09,0.04,159.80,bearing
0.04,1.08,0.04,158.85,bearing
0.04,1.09,0.04,160.75,bearing
0.04,1.09,0.04,155.85,bearing
0.04,1.09,0.04,166.38,bearing
0.04,1.09,0.04,165.94,bearing
0.04,1.09,0.04,157.97,bearing
0.04,1.09,0.04,164.28,bearing
0.04,1.09,0.04,161.27,bearing
0.04,1.09,0.04,164.88,bearing
0.04,1.09,0.04,157.59,bearing
0.04,1.09,0.04,158.27,bearing
0.04,1.08,0.04,165.21,bearing
0.04,1.08,0.04,156.43,bearing
0.04,1.08,0.04,160.87,bearing
0.04,1.08,0.04,161.61,bearing
0.04,1.09,0.04,161.55,bearing
0.04,1.09,0.04,155.78,bearing
0.04,1.09,0.04,165.76,bearing
0.04,1.09,0.04,159.66,bearing
0.04,1.09,0.04,161.45,bearing
0.04,1.08,0.04,163.10,bearing
0.04,1.08,0.04,165.98,bearing
0.04,1.09,0.04,162.69,bearing
0.04,1.08,0.04,155.39,bearing
0.04,1.09,0.04,163.67,bearing
0.04,1.09,0.04,160.71,bearing
