rms_x,rms_y,rms_z,pw,label
0.04,1.09,0.05,139.86,normal
0.05,1.09,0.05,145.30,normal
0.05,1.09,0.04,147.00,normal
0.05,1.09,0.05,144.95,normal
0.05,1.09,0.05,146.95,normal
0.05,1.09,0.05,146.03,normal
0.05,1.09,0.05,141.44,normal
0.05,1.09,0.04,144.07,normal
0.05,1.09,0.05,137.63,normal
0.05,1.09,0.05,134.34,normal
0.05,1.09,0.04,135.70,normal
0.05,1.09,0.05,131.02,normal
0.05,1.09,0.05,127.14,normal
0.05,1.09,0.05,133.19,normal
0.05,1.09,0.05,132.52,normal
0.05,1.09,0.05,129.11,normal
0.05,1.09,0.05,144.48,normal
0.05,1.08,0.05,140.87,normal
0.05,1.09,0.05,134.11,normal
0.05,1.09,0.04,147.60,normal
0.05,1.09,0.05,142.55,normal
0.05,1.09,0.05,136.45,normal
0.05,1.09,0.04,147.30,normal
0.05,1.09,0.05,141.50,normal
0.05,1.09,0.05,136.38,normal
0.05,1.09,0.05,149.14,normal
0.05,1.09,0.05,140.04,normal
0.05,1.08,0.04,137.40,normal
0.05,1.09,0.05,148.75,normal
0.05,1.09,0.05,138.70,normal
0.05,1.09,0.05,139.00,normal
0.05,1.08,0.04,147.52,normal
0.05,1.09,0.05,142.74,normal
0.05,1.09,0.05,141.74,normal
0.05,1.09,0.04,150.27,normal
0.05,1.09,0.05,145.86,normal
0.05,1.09,0.05,142.78,normal
0.05,1.09,0.04,150.32,normal
0.05,1.09,0.05,144.18,normal
0.05,1.09,0.05,143.32,normal
0.05,1.09,0.05,150.63,normal
0.05,1.09,0.05,145.47,normal
0.05,1.08,0.05,143.63,normal
0.05,1.09,0.04,149.02,normal
0.05,1.09,0.05,144.88,normal
0.05,1.08,0.05,141.27,normal
0.05,1.09,0.04,148.46,normal
0.05,1.09,0.05,143.58,normal
0.05,1.09,0.05,137.91,normal
0.05,1.09,0.04,145.46,normal
0.05,1.09,0.05,138.25,normal
0.05,1.09,0.05,133.48,normal
0.05,1.09,0.04,142.24,normal
0.05,1.09,0.05,133.32,normal
0.05,1.09,0.05,131.21,normal
0.05,1.09,0.04,137.53,normal
0.05,1.09,0.05,137.51,normal
0.05,1.09,0.05,134.78,normal
0.05,1.09,0.05,138.67,normal
0.05,1.09,0.05,137.06,normal
0.05,1.09,0.05,141.95,normal
0.05,1.09,0.04,144.13,normal
0.05,1.09,0.05,135.09,normal
0.04,1.09,0.05,139.19,normal
0.05,1.09,0.05,145.20,normal
0.05,1.09,0.05,138.12,normal
0.05,1.09,0.05,138.14,normal
0.05,1.09,0.05,151.64,normal
0.05,1.09,0.05,142.32,normal
0.05,1.09,0.05,139.24,normal
0.05,1.09,0.04,145.07,normal
0.05,1.09,0.05,138.73,normal
0.05,1.09,0.05,134.64,normal
0.05,1.09,0.04,143.62,normal
0.05,1.09,0.05,136.64,normal
0.05,1.09,0.05,133.97,normal
0.05,1.09,0.04,141.66,normal
0.05,1.09,0.05,133.55,normal
0.05,1.09,0.05,132.53,normal
0.05,1.09,0.04,139.34,normal
0.05,1.09,0.05,132.49,normal
0.05,1.09,0.05,132.92,normal
0.05,1.09,0.04,137.96,normal
0.05,1.09,0.05,132.61,normal
0.05,1.09,0.05,132.30,normal
0.05,1.09,0.04,137.28,normal
0.05,1.09,0.05,133.91,normal
0.05,1.09,0.05,134.61,normal
0.05,1.09,0.04,139.45,normal
0.05,1.09,0.05,137.05,normal
0.05,1.09,0.04,137.05,normal
0.05,1.09,0.04,144.15,normal
0.05,1.09,0.05,141.00,normal
0.05,1.09,0.05,140.80,normal
0.05,1.09,0.05,148.13,normal
0.05,1.09,0.05,144.44,normal
0.05,1.09,0.05,145.04,normal
0.05,1.09,0.04,150.97,normal
0.05,1.09,0.05,146.76,normal
0.05,1.09,0.05,146.51,normal
0.05,1.09,0.04,151.03,normal
0.05,1.08,0.05,144.61,normal
0.05,1.09,0.05,145.21,normal
0.05,1.09,0.04,154.40,normal
0.05,1.08,0.05,146.60,normal
0.05,1.09,0.05,139.35,normal
0.05,1.09,0.04,152.70,normal
0.05,1.09,0.05,145.38,normal
0.05,1.09,0.04,137.94,normal
0.05,1.09,0.04,147.12,normal
0.05,1.09,0.05,147.01,normal
0.05,1.09,0.05,138.65,normal
0.05,1.09,0.04,145.80,normal
0.05,1.09,0.05,147.50,normal
0.05,1.09,0.05,140.05,normal
0.05,1.09,0.04,144.33,normal
0.05,1.09,0.05,147.09,normal
0.05,1.09,0.05,148.14,normal
0.05,1.09,0.04,146.07,normal
0.05,1.09,0.05,148.39,normal
0.05,1.09,0.05,148.89,normal
0.05,1.09,0.04,149.15,normal
0.05,1.09,0.05,147.85,normal
0.05,1.09,0.05,142.65,normal
0.05,1.09,0.04,145.97,normal
0.05,1.09,0.05,139.46,normal
0.05,1.09,0.04,132.68,normal
0.05,1.09,0.04,136.99,normal
0.05,1.09,0.05,133.10,normal
0.05,1.09,0.05,133.17,normal
0.05,1.09,0.04,138.84,normal
0.05,1.09,0.05,138.04,normal
0.05,1.09,0.05,138.60,normal
0.05,1.09,0.04,144.12,normal
0.05,1.09,0.04,143.56,normal
0.05,1.09,0.05,142.81,normal
0.05,1.09,0.05,147.73,normal
0.05,1.09,0.05,147.81,normal
0.05,1.09,0.05,145.68,normal
0.05,1.09,0.05,149.49,normal
0.05,1.09,0.04,149.17,normal
0.05,1.09,0.04,145.41,normal
0.05,1.09,0.04,150.06,normal
0.05,1.09,0.05,149.73,normal
0.05,1.09,0.05,145.41,normal
0.05,1.09,0.04,149.61,normal
0.05,1.09,0.05,148.85,normal
0.05,1.09,0.05,145.43,normal
0.05,1.09,0.05,147.46,normal
0.05,1.09,0.05,144.11,normal
0.05,1.09,0.04,142.33,normal
0.05,1.09,0.05,144.39,normal
0.05,1.09,0.04,140.42,normal
0.05,1.09,0.05,137.48,normal
0.05,1.09,0.05,143.89,normal
0.05,1.09,0.04,140.57,normal
0.05,1.09,0.05,135.51,normal
0.05,1.09,0.05,149.88,normal
0.05,1.09,0.05,142.89,normal
0.05,1.09,0.05,134.30,normal
0.05,1.09,0.05,148.95,normal
0.05,1.09,0.05,143.60,normal
0.05,1.09,0.05,135.25,normal
0.05,1.09,0.04,144.97,normal
0.05,1.09,0.05,147.96,normal
0.05,1.09,0.05,136.41,normal
0.05,1.09,0.04,145.23,normal
0.05,1.09,0.05,146.16,normal
0.05,1.09,0.05,138.63,normal
0.05,1.09,0.04,146.59,normal
0.05,1.09,0.05,146.60,normal
0.05,1.09,0.05,145.50,normal
0.05,1.09,0.05,148.72,normal
0.05,1.09,0.04,148.34,normal
0.05,1.09,0.05,145.99,normal
0.05,1.09,0.05,148.85,normal
0.05,1.09,0.05,147.70,normal
0.05,1.09,0.05,143.90,normal
0.05,1.09,0.04,149.27,normal
0.05,1.09,0.05,147.64,normal
0.05,1.09,0.05,145.89,normal
0.05,1.09,0.05,150.00,normal
0.05,1.09,0.05,148.02,normal
0.05,1.09,0.05,146.11,normal
0.05,1.09,0.05,148.63,normal
0.05,1.09,0.05,148.87,normal
0.05,1.09,0.05,145.28,normal
0.05,1.09,0.05,147.19,normal
0.05,1.09,0.04,147.27,normal
0.05,1.09,0.05,140.09,normal
0.05,1.09,0.05,141.97,normal
0.05,1.09,0.05,142.38,normal
0.05,1.09,0.05,134.19,normal
0.05,1.09,0.05,135.67,normal
0.05,1.09,0.04,134.81,normal
0.05,1.09,0.05,129.53,normal
0.05,1.09,0.05,138.64,normal
0.05,1.09,0.05,136.65,normal
0.05,1.09,0.05,130.27,normal
0.05,1.09,0.05,138.56,normal
0.05,1.09,0.05,137.76,normal
0.05,1.09,0.05,134.58,normal
0.05,1.09,0.04,136.74,normal
0.05,1.09,0.05,146.12,normal
0.05,1.09,0.05,141.96,normal
0.05,1.09,0.04,138.38,normal
0.05,1.09,0.04,145.24,normal
0.05,1.09,0.05,141.22,normal
0.05,1.09,0.05,136.58,normal
0.05,1.09,0.04,142.69,normal
0.05,1.09,0.05,141.70,normal
0.05,1.09,0.05,135.57,normal
0.05,1.09,0.05,141.96,normal
0.05,1.09,0.05,138.46,normal
0.05,1.09,0.05,135.83,normal
0.05,1.09,0.05,142.06,normal
0.05,1.09,0.05,136.98,normal
0.05,1.09,0.05,142.19,normal
0.05,1.09,0.05,144.60,normal
0.05,1.09,0.05,140.95,normal
0.05,1.09,0.05,144.57,normal
0.05,1.09,0.05,146.86,normal
0.05,1.09,0.05,143.38,normal
0.05,1.09,0.05,146.74,normal
0.05,1.09,0.05,147.70,normal
0.05,1.09,0.05,144.30,normal
0.05,1.09,0.05,148.60,normal
0.05,1.09,0.05,144.65,normal
0.05,1.09,0.05,141.75,normal
0.05,1.09,0.04,143.02,normal
0.05,1.09,0.05,138.84,normal
0.05,1.09,0.05,133.67,normal
0.05,1.09,0.05,138.38,normal
0.05,1.09,0.04,132.22,normal
0.05,1.09,0.05,128.31,normal
0.05,1.09,0.04,142.05,normal
0.05,1.09,0.04,139.55,normal
0.05,1.09,0.05,134.35,normal
0.05,1.09,0.04,149.73,normal
0.05,1.09,0.05,141.76,normal
0.05,1.09,0.05,136.83,normal
0.05,1.09,0.04,149.99,normal
0.05,1.08,0.05,138.22,normal
0.05,1.09,0.05,143.44,normal
0.05,1.09,0.04,152.49,normal
0.05,1.09,0.05,143.65,normal
0.05,1.09,0.05,143.37,normal
0.05,1.09,0.05,145.76,normal
0.05,1.09,0.05,138.41,normal
0.05,1.09,0.05,139.40,normal
0.05,1.09,0.05,138.05,normal
0.05,1.09,0.05,132.90,normal
0.05,1.09,0.05,136.60,normal
0.05,1.09,0.05,141.50,normal
0.05,1.09,0.05,138.75,normal
0.05,1.09,0.05,145.75,normal
0.05,1.09,0.05,144.13,normal
0.05,1.09,0.05,141.61,normal
0.05,1.09,0.05,141.91,normal
0.05,1.09,0.05,136.60,normal
0.05,1.09,0.04,130.50,normal
0.05,1.09,0.04,137.33,normal
0.05,1.09,0.05,134.44,normal
0.05,1.09,0.05,133.24,normal
0.05,1.09,0.05,148.02,normal
0.05,1.09,0.05,142.14,normal
0.05,1.09,0.05,136.92,normal
0.05,1.09,0.05,147.91,normal
0.05,1.09,0.05,137.75,normal
0.05,1.09,0.05,139.23,normal
0.05,1.09,0.04,147.19,normal
0.05,1.09,0.05,140.47,normal
0.05,1.09,0.05,147.98,normal
0.05,1.09,0.04,149.54,normal
0.05,1.09,0.05,142.65,normal
0.05,1.09,0.04,139.95,normal
0.05,1.09,0.04,140.77,normal
0.05,1.09,0.05,132.99,normal
0.05,1.09,0.05,136.87,normal
0.05,1.09,0.04,138.56,normal
0.05,1.09,0.05,135.48,normal
0.05,1.09,0.05,140.19,normal
0.05,1.09,0.04,144.32,normal
0.05,1.09,0.05,141.61,normal
0.05,1.09,0.05,147.25,normal
0.05,1.09,0.05,143.83,normal
0.05,1.09,0.05,140.99,normal
0.05,1.09,0.05,141.54,normal
0.05,1.09,0.05,136.95,normal
0.05,1.09,0.05,131.00,normal
0.05,1.09,0.05,136.80,normal
0.05,1.09,0.05,132.82,normal
0.05,1.09,0.05,131.39,normal
0.05,1.09,0.04,146.22,normal
0.05,1.09,0.05,141.38,normal
0.05,1.09,0.05,136.02,normal
0.05,1.09,0.04,148.86,normal
0.05,1.09,0.05,138.60,normal
0.05,1.09,0.05,138.48,normal
0.05,1.09,0.04,147.59,normal
0.05,1.09,0.05,140.59,normal
0.05,1.09,0.05,147.90,normal
0.05,1.09,0.05,148.85,normal
0.05,1.09,0.05,141.27,normal
0.05,1.09,0.04,139.94,normal
0.05,1.09,0.05,141.37,normal
0.05,1.09,0.05,135.61,normal
0.05,1.09,0.05,141.03,normal
0.05,1.09,0.04,145.91,normal
0.05,1.09,0.04,143.53,normal
0.05,1.09,0.05,146.44,normal
0.05,1.09,0.05,138.95,normal
0.05,1.09,0.05,134.10,normal
0.05,1.09,0.04,136.37,normal
0.05,1.09,0.05,134.49,normal
0.04,1.09,0.05,131.77,normal
0.05,1.09,0.05,141.41,normal
0.05,1.09,0.05,138.90,normal
0.05,1.09,0.05,141.35,normal
0.05,1.09,0.04,145.60,normal
0.05,1.09,0.05,137.33,normal
0.05,1.09,0.05,134.26,normal
0.05,1.09,0.04,138.63,normal
0.05,1.09,0.05,140.22,normal
0.05,1.09,0.05,143.26,normal
0.05,1.09,0.05,142.83,normal
0.05,1.09,0.05,139.61,normal
0.05,1.09,0.05,134.13,normal
0.05,1.09,0.05,143.54,normal
0.05,1.09,0.05,141.37,normal
0.05,1.09,0.04,146.09,normal
0.05,1.09,0.05,145.62,normal
0.05,1.09,0.05,142.96,normal
0.05,1.09,0.05,143.80,normal
0.05,1.09,0.05,137.75,normal
0.05,1.09,0.05,130.40,normal
0.05,1.09,0.05,137.80,normal
0.05,1.09,0.05,136.35,normal
0.05,1.09,0.05,135.65,normal
0.05,1.09,0.05,143.13,normal
0.05,1.09,0.05,143.06,normal
0.05,1.09,0.05,141.81,normal
0.05,1.09,0.04,146.03,normal
0.05,1.09,0.05,137.69,normal
0.05,1.09,0.05,135.57,normal
0.05,1.09,0.04,139.56,normal
0.05,1.09,0.05,140.95,normal
0.05,1.09,0.05,135.95,normal
0.05,1.09,0.05,142.93,normal
0.05,1.09,0.05,144.21,normal
0.05,1.09,0.05,136.46,normal
0.05,1.09,0.04,143.68,normal
0.05,1.09,0.05,138.39,normal
0.05,1.09,0.05,138.92,normal
0.05,1.09,0.05,148.61,normal
0.05,1.09,0.04,138.80,normal
0.05,1.09,0.05,146.03,normal
0.05,1.09,0.05,140.56,normal
0.05,1.09,0.05,135.23,normal
0.05,1.09,0.04,140.54,normal
0.05,1.09,0.05,139.85,normal
0.05,1.09,0.05,138.32,normal
0.05,1.09,0.04,145.69,normal
0.05,1.09,0.05,141.14,normal
0.05,1.09,0.04,138.27,normal
0.05,1.09,0.05,139.96,normal
0.05,1.09,0.05,131.23,normal
0.05,1.09,0.05,131.12,normal
0.05,1.09,0.05,141.81,normal
0.05,1.09,0.05,141.50,normal
0.05,1.09,0.04,136.35,normal
0.05,1.09,0.05,141.65,normal
0.05,1.09,0.05,135.78,normal
0.05,1.09,0.05,142.49,normal
0.05,1.09,0.04,138.92,normal
0.05,1.09,0.05,131.18,normal
0.05,1.09,0.04,147.57,normal
0.05,1.09,0.04,141.46,normal
0.05,1.09,0.05,135.00,normal
0.05,1.09,0.05,138.30,normal
0.05,1.09,0.05,140.30,normal
0.05,1.09,0.05,142.60,normal
0.05,1.09,0.05,141.55,normal
0.05,1.09,0.05,142.73,normal
0.05,1.09,0.04,140.89,normal
0.05,1.09,0.05,144.14,normal
0.05,1.09,0.05,135.62,normal
0.05,1.09,0.05,132.94,normal
0.05,1.09,0.04,143.59,normal
0.05,1.09,0.05,142.37,normal
0.05,1.09,0.05,140.39,normal
0.05,1.09,0.04,143.09,normal
0.05,1.09,0.05,138.00,normal
0.05,1.09,0.05,134.75,normal
0.05,1.09,0.05,134.52,normal
0.05,1.09,0.05,128.86,normal
0.05,1.09,0.05,136.56,normal
0.05,1.09,0.05,137.63,normal
0.05,1.09,0.05,140.26,normal
0.05,1.09,0.04,140.03,normal
0.05,1.09,0.05,143.52,normal
0.05,1.09,0.04,136.58,normal
0.05,1.09,0.05,138.39,normal
0.05,1.09,0.05,144.15,normal
0.05,1.09,0.05,135.60,normal
0.05,1.09,0.04,143.20,normal
0.05,1.09,0.05,135.62,normal
0.05,1.09,0.05,136.21,normal
0.05,1.09,0.04,150.38,normal
0.05,1.08,0.05,145.49,normal
0.05,1.09,0.05,142.75,normal
0.05,1.09,0.05,140.67,normal
0.05,1.09,0.05,131.94,normal
0.05,1.09,0.05,135.57,normal
0.05,1.09,0.05,139.16,normal
0.05,1.09,0.05,139.55,normal
0.05,1.09,0.05,142.28,normal
0.05,1.09,0.05,138.09,normal
0.05,1.09,0.05,132.12,normal
0.05,1.09,0.05,138.01,normal
0.05,1.09,0.04,137.18,normal
0.05,1.09,0.05,135.91,normal
0.05,1.09,0.05,146.91,normal
0.05,1.09,0.05,137.48,normal
0.05,1.09,0.05,142.74,normal
0.05,1.09,0.05,143.04,normal
0.05,1.09,0.05,143.22,normal
0.05,1.09,0.05,140.54,normal
0.05,1.09,0.05,145.17,normal
