rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,102.81,fluctuations
0.06,1.09,0.05,107.53,fluctuations
0.06,1.09,0.05,124.19,fluctuations
0.06,1.09,0.05,133.69,fluctuations
0.06,1.09,0.05,153.17,fluctuations
0.06,1.09,0.05,157.29,fluctuations
0.06,1.09,0.05,167.44,fluctuations
0.06,1.09,0.05,161.15,fluctuations
0.06,1.09,0.05,121.50,fluctuations
0.06,1.09,0.05,66.72,fluctuations
0.06,1.09,0.05,38.26,fluctuations
0.06,1.09,0.05,27.51,fluctuations
0.06,1.09,0.05,24.38,fluctuations
0.06,1.09,0.05,26.91,fluctuations
0.06,1.09,0.05,33.78,fluctuations
0.06,1.09,0.05,37.47,fluctuations
0.06,1.09,0.05,48.11,fluctuations
0.06,1.09,0.05,56.40,fluctuations
0.06,1.09,0.05,62.18,fluctuations
0.06,1.09,0.05,75.59,fluctuations
0.06,1.09,0.05,80.64,fluctuations
0.06,1.09,0.05,90.35,fluctuations
0.06,1.09,0.05,103.37,fluctuations
0.06,1.09,0.05,110.64,fluctuations
0.06,1.08,0.05,123.99,fluctuations
0.06,1.09,0.05,127.87,fluctuations
0.06,1.09,0.05,139.26,fluctuations
0.06,1.09,0.05,147.23,fluctuations
0.06,1.09,0.05,87.39,fluctuations
0.06,1.09,0.05,48.32,fluctuations
0.06,1.09,0.05,27.96,fluctuations
0.06,1.09,0.05,17.18,fluctuations
0.06,1.09,0.05,11.09,fluctuations
0.06,1.09,0.05,7.05,fluctuations
0.06,1.09,0.05,5.02,fluctuations
0.06,1.09,0.05,3.91,fluctuations
0.06,1.09,0.05,2.98,fluctuations
0.06,1.09,0.05,2.49,fluctuations
0.06,1.09,0.05,2.25,fluctuations
0.06,1.08,0.05,2.12,fluctuations
0.06,1.09,0.05,2.06,fluctuations
0.06,1.08,0.05,2.03,fluctuations
0.06,1.09,0.05,2.02,fluctuations
0.05,1.09,0.05,2.38,fluctuations
0.06,1.09,0.05,2.69,fluctuations
0.06,1.09,0.05,3.10,fluctuations
0.06,1.09,0.05,4.05,fluctuations
0.06,1.09,0.05,5.62,fluctuations
0.06,1.09,0.05,8.39,fluctuations
0.06,1.09,0.05,17.92,fluctuations
0.06,1.09,0.05,25.58,fluctuations
0.06,1.09,0.05,30.77,fluctuations
0.06,1.09,0.05,38.38,fluctuations
0.06,1.09,0.05,46.19,fluctuations
0.06,1.09,0.05,51.57,fluctuations
0.06,1.09,0.05,60.06,fluctuations
0.06,1.09,0.05,53.58,fluctuations
0.06,1.09,0.05,30.62,fluctuations
0.06,1.09,0.05,18.26,fluctuations
0.06,1.09,0.05,11.18,fluctuations
0.06,1.09,0.05,7.09,fluctuations
0.06,1.09,0.05,5.04,fluctuations
0.06,1.09,0.05,3.92,fluctuations
0.06,1.09,0.05,3.09,fluctuations
0.06,1.09,0.05,2.57,fluctuations
0.06,1.09,0.05,2.51,fluctuations
0.06,1.09,0.05,2.65,fluctuations
0.06,1.09,0.05,2.83,fluctuations
0.06,1.09,0.05,2.91,fluctuations
0.06,1.08,0.05,2.96,fluctuations
0.06,1.09,0.05,3.78,fluctuations
0.06,1.09,0.05,4.79,fluctuations
0.06,1.09,0.05,6.14,fluctuations
0.06,1.09,0.05,9.37,fluctuations
0.06,1.09,0.05,22.14,fluctuations
0.06,1.09,0.05,32.69,fluctuations
0.06,1.09,0.05,41.95,fluctuations
0.06,1.09,0.05,48.50,fluctuations
0.06,1.09,0.05,56.07,fluctuations
0.06,1.09,0.05,65.31,fluctuations
