rms_x,rms_y,rms_z,pw,label
0.03,1.09,0.05,188.45,bearing
0.03,1.09,0.05,182.50,bearing
0.03,1.09,0.05,180.85,bearing
0.03,1.09,0.05,183.60,bearing
0.03,1.09,0.05,182.13,bearing
0.03,1.09,0.05,175.64,bearing
0.03,1.09,0.05,182.74,bearing
0.03,1.09,0.05,188.70,bearing
0.03,1.09,0.05,179.60,bearing
0.03,1.09,0.05,181.65,bearing
0.03,1.09,0.05,189.72,bearing
0.03,1.09,0.05,181.61,bearing
0.03,1.09,0.05,181.08,bearing
0.03,1.09,0.05,183.09,bearing
0.03,1.09,0.05,176.17,bearing
0.03,1.09,0.05,184.09,bearing
0.03,1.09,0.05,178.69,bearing
0.03,1.08,0.05,173.62,bearing
0.03,1.09,0.05,181.64,bearing
0.03,1.09,0.05,184.02,bearing
0.03,1.09,0.05,176.71,bearing
0.03,1.09,0.05,179.25,bearing
0.03,1.09,0.05,177.63,bearing
0.03,1.09,0.05,174.61,bearing
0.03,1.09,0.05,181.28,bearing
0.03,1.09,0.05,178.69,bearing
0.03,1.09,0.05,174.60,bearing
0.03,1.09,0.05,177.72,bearing
0.03,1.09,0.05,187.99,bearing
0.03,1.09,0.05,179.34,bearing
0.03,1.09,0.05,179.25,bearing
0.03,1.09,0.05,187.95,bearing
0.03,1.09,0.05,180.15,bearing
0.03,1.09,0.05,177.77,bearing
0.03,1.09,0.05,185.79,bearing
0.03,1.09,0.05,185.72,bearing
0.03,1.09,0.05,180.31,bearing
0.03,1.09,0.05,185.35,bearing
0.03,1.09,0.05,179.45,bearing
0.03,1.09,0.05,181.65,bearing
0.03,1.09,0.05,184.40,bearing
0.03,1.09,0.05,177.43,bearing
0.03,1.09,0.05,180.66,bearing
0.03,1.09,0.05,181.18,bearing
0.03,1.09,0.05,177.09,bearing
0.03,1.09,0.05,184.45,bearing
0.03,1.09,0.05,179.72,bearing
0.03,1.09,0.05,178.56,bearing
0.03,1.09,0.05,183.13,bearing
0.03,1.09,0.05,182.02,bearing
0.03,1.09,0.05,178.76,bearing
0.03,1.09,0.05,187.90,bearing
0.03,1.09,0.05,175.25,bearing
0.03,1.09,0.05,178.93,bearing
0.03,1.09,0.05,180.24,bearing
0.03,1.09,0.05,179.49,bearing
0.03,1.09,0.05,189.52,bearing
0.03,1.09,0.05,191.29,bearing
0.03,1.09,0.05,184.99,bearing
0.03,1.09,0.05,181.85,bearing
0.03,1.09,0.05,174.37,bearing
0.03,1.09,0.05,180.59,bearing
0.03,1.09,0.05,186.77,bearing
0.03,1.09,0.05,183.93,bearing
0.03,1.09,0.05,185.39,bearing
0.03,1.09,0.05,177.50,bearing
0.03,1.09,0.05,187.00,bearing
0.03,1.09,0.05,185.37,bearing
0.03,1.09,0.05,184.09,bearing
0.03,1.09,0.05,185.92,bearing
0.03,1.09,0.05,180.91,bearing
0.03,1.09,0.05,188.15,bearing
0.03,1.09,0.05,183.33,bearing
0.03,1.09,0.05,188.51,bearing
0.03,1.09,0.05,193.51,bearing
0.03,1.09,0.05,187.73,bearing
0.03,1.09,0.05,190.14,bearing
0.03,1.09,0.05,185.24,bearing
0.03,1.09,0.05,189.75,bearing
0.03,1.09,0.05,180.85,bearing
0.03,1.09,0.05,186.92,bearing
0.03,1.09,0.05,185.51,bearing
0.03,1.09,0.05,193.88,bearing
0.03,1.09,0.05,185.37,bearing
0.03,1.09,0.05,185.21,bearing
0.03,1.09,0.05,186.78,bearing
0.03,1.09,0.05,190.51,bearing
0.03,1.09,0.05,188.01,bearing
0.03,1.09,0.05,191.05,bearing
0.03,1.09,0.05,193.55,bearing
0.03,1.09,0.05,186.48,bearing
0.03,1.09,0.05,192.06,bearing
0.03,1.09,0.05,189.48,bearing
0.03,1.09,0.05,197.87,bearing
0.03,1.09,0.05,189.53,bearing
0.03,1.09,0.05,196.24,bearing
0.03,1.09,0.05,192.97,bearing
0.03,1.09,0.05,203.26,bearing
0.03,1.09,0.05,193.16,bearing
0.03,1.09,0.05,193.85,bearing
0.03,1.09,0.05,191.63,bearing
0.03,1.09,0.05,189.54,bearing
0.03,1.09,0.05,191.37,bearing
0.03,1.09,0.05,188.43,bearing
0.03,1.09,0.05,194.79,bearing
0.03,1.09,0.05,195.25,bearing
0.03,1.09,0.05,204.95,bearing
0.03,1.09,0.05,200.82,bearing
0.03,1.09,0.05,202.21,bearing
0.03,1.09,0.05,196.91,bearing
0.03,1.09,0.05,193.60,bearing
0.03,1.09,0.05,203.30,bearing
0.03,1.09,0.05,196.08,bearing
0.03,1.09,0.05,202.31,bearing
0.03,1.09,0.05,193.83,bearing
0.03,1.09,0.05,192.24,bearing
0.03,1.09,0.05,201.95,bearing
0.03,1.09,0.05,195.82,bearing
0.03,1.09,0.05,203.59,bearing
0.03,1.09,0.05,196.89,bearing
0.03,1.09,0.05,186.00,bearing
0.03,1.09,0.05,193.45,bearing
0.03,1.09,0.05,190.82,bearing
0.03,1.09,0.05,196.44,bearing
0.03,1.09,0.05,194.62,bearing
0.03,1.09,0.05,190.71,bearing
0.03,1.09,0.05,194.60,bearing
0.03,1.09,0.05,190.43,bearing
0.03,1.09,0.05,196.99,bearing
0.03,1.09,0.05,195.62,bearing
0.03,1.09,0.05,199.23,bearing
0.03,1.09,0.05,195.87,bearing
0.03,1.09,0.05,197.63,bearing
0.03,1.09,0.05,193.62,bearing
0.03,1.09,0.05,190.81,bearing
0.03,1.09,0.05,196.85,bearing
0.03,1.09,0.05,194.08,bearing
0.03,1.09,0.05,196.84,bearing
0.03,1.09,0.05,187.89,bearing
0.03,1.09,0.05,190.15,bearing
0.03,1.09,0.05,186.82,bearing
0.03,1.09,0.05,188.66,bearing
0.03,1.09,0.05,185.13,bearing
0.03,1.09,0.05,188.57,bearing
0.03,1.09,0.05,187.33,bearing
0.03,1.09,0.05,186.77,bearing
0.03,1.09,0.05,186.73,bearing
0.03,1.09,0.05,193.99,bearing
0.03,1.09,0.05,187.12,bearing
0.03,1.09,0.05,192.46,bearing
0.03,1.08,0.05,186.81,bearing
0.03,1.09,0.05,192.53,bearing
0.03,1.08,0.05,187.46,bearing
0.03,1.09,0.05,191.83,bearing
0.03,1.09,0.05,187.59,bearing
0.03,1.09,0.05,196.70,bearing
0.03,1.09,0.05,191.75,bearing
0.03,1.09,0.05,193.70,bearing
0.03,1.09,0.05,193.50,bearing
0.03,1.09,0.05,185.30,bearing
0.03,1.09,0.05,194.75,bearing
0.03,1.09,0.05,193.12,bearing
0.03,1.09,0.05,200.71,bearing
0.03,1.09,0.05,192.38,bearing
0.03,1.09,0.05,201.19,bearing
0.03,1.09,0.05,193.17,bearing
0.03,1.09,0.05,193.76,bearing
0.03,1.09,0.05,189.53,bearing
0.03,1.09,0.05,184.47,bearing
0.03,1.09,0.05,188.93,bearing
0.03,1.09,0.05,190.02,bearing
0.03,1.09,0.05,200.18,bearing
0.03,1.09,0.05,199.37,bearing
0.03,1.09,0.05,191.11,bearing
0.03,1.09,0.05,195.48,bearing
0.03,1.09,0.05,193.24,bearing
0.03,1.09,0.05,201.34,bearing
0.03,1.09,0.05,196.80,bearing
0.03,1.09,0.05,200.22,bearing
0.03,1.09,0.05,205.36,bearing
0.03,1.09,0.05,198.78,bearing
0.03,1.09,0.05,189.34,bearing
0.03,1.09,0.05,200.50,bearing
0.03,1.09,0.05,198.97,bearing
0.03,1.09,0.05,189.04,bearing
0.03,1.09,0.05,199.47,bearing
0.03,1.09,0.05,200.36,bearing
0.03,1.09,0.05,200.43,bearing
0.03,1.09,0.05,205.74,bearing
0.03,1.09,0.05,196.97,bearing
0.03,1.09,0.05,198.28,bearing
0.03,1.09,0.05,201.34,bearing
0.03,1.09,0.05,203.52,bearing
0.03,1.09,0.05,201.46,bearing
0.03,1.09,0.05,191.13,bearing
0.03,1.09,0.05,204.09,bearing
0.03,1.09,0.05,200.90,bearing
0.03,1.09,0.05,194.25,bearing
0.03,1.09,0.05,203.17,bearing
0.03,1.09,0.05,203.24,bearing
0.03,1.09,0.05,200.34,bearing
0.03,1.09,0.05,199.97,bearing
0.03,1.09,0.05,209.04,bearing
0.03,1.09,0.05,206.04,bearing
0.03,1.09,0.05,199.25,bearing
0.03,1.09,0.05,192.35,bearing
0.03,1.09,0.05,199.72,bearing
0.03,1.09,0.05,200.09,bearing
0.03,1.09,0.05,201.14,bearing
0.03,1.09,0.05,209.95,bearing
0.03,1.09,0.05,205.67,bearing
0.03,1.09,0.05,203.56,bearing
0.03,1.09,0.05,200.58,bearing
0.03,1.09,0.05,202.82,bearing
0.03,1.09,0.05,201.66,bearing
0.03,1.09,0.05,200.88,bearing
0.03,1.09,0.05,212.64,bearing
0.03,1.09,0.05,205.52,bearing
0.03,1.09,0.05,203.93,bearing
0.03,1.09,0.05,210.99,bearing
0.03,1.09,0.05,203.55,bearing
0.03,1.09,0.05,199.27,bearing
0.03,1.09,0.05,205.31,bearing
0.03,1.09,0.05,201.08,bearing
